card_id,name,set_name,rarity,condition,price_cad,quantity,image_url,description
30,Wasteland,Tempest,Uncommon,Near Mint,28.00,4,https://example.com/wasteland.jpg,Destroy target nonbasic land
31,Tarmogoyf,Future Sight,Rare,Near Mint,45.00,3,https://example.com/tarmogoyf.jpg,Power/toughness equals card types in graveyards
32,Snapcaster Mage,Innistrad,Rare,Near Mint,22.00,5,https://example.com/snapcaster.jpg,Give instant spell flashback when enters
33,Jace the Mind Sculptor,Worldwake,Mythic Rare,Near Mint,85.00,2,https://example.com/jace-tms.jpg,Powerful planeswalker with multiple abilities
34,Liliana of the Veil,Innistrad,Mythic Rare,Near Mint,65.00,3,https://example.com/liliana-veil.jpg,Discard and sacrifice effects planeswalker
35,Elspeth Knight-Errant,Shards of Alara,Mythic Rare,Near Mint,18.00,4,https://example.com/elspeth-knight.jpg,White planeswalker creating tokens
36,Chandra Torch of Defiance,Kaladesh,Mythic Rare,Near Mint,12.00,6,https://example.com/chandra-torch.jpg,Red planeswalker dealing damage and ramping
37,Nissa Worldwaker,Magic 2015,Mythic Rare,Near Mint,8.50,3,https://example.com/nissa-worldwaker.jpg,Green planeswalker animating lands
38,Ajani Goldmane,Lorwyn,Rare,Near Mint,5.00,4,https://example.com/ajani-goldmane.jpg,White planeswalker gaining life and pumping creatures
39,Garruk Wildspeaker,Lorwyn,Rare,Near Mint,7.25,5,https://example.com/garruk-wild.jpg,Green planeswalker untapping lands and making beasts
40,Sarkhan Vol,Shards of Alara,Mythic Rare,Near Mint,6.00,2,https://example.com/sarkhan-vol.jpg,Red-green planeswalker pumping creatures
41,Pokemon Trainer - Professor Oak,Base Set,Uncommon,Near Mint,15.00,3,https://example.com/prof-oak.jpg,Discard hand and draw 7 cards
42,Energy Removal,Base Set,Common,Near Mint,2.00,8,https://example.com/energy-removal.jpg,Remove energy card from opponent's Pokemon
43,Computer Search,Base Set,Rare,Near Mint,200.00,1,https://example.com/computer-search.jpg,Discard 2 cards to search for any card
44,Item Finder,Base Set,Rare,Near Mint,35.00,2,https://example.com/item-finder.jpg,Discard 2 cards to get trainer from discard
45,PlusPower,Base Set,Uncommon,Near Mint,3.50,6,https://example.com/pluspower.jpg,Add 10 damage to attack this turn
46,Defender,Base Set,Uncommon,Near Mint,2.25,7,https://example.com/defender.jpg,Reduce damage by 20 this turn
47,Gust of Wind,Base Set,Common,Near Mint,4.00,5,https://example.com/gust-wind.jpg,Switch opponent's active Pokemon
48,Bill,Base Set,Common,Near Mint,8.00,4,https://example.com/bill.jpg,Draw 2 cards from deck
49,Polymerization,Starter Deck Yugi,Common,Near Mint,3.25,6,https://example.com/polymerization.jpg,Fusion summon by combining monsters
50,Fissure,Starter Deck Yugi,Common,Near Mint,2.50,4,https://example.com/fissure.jpg,Destroy 1 monster on the field
